user_id,home_currency,balance,minimum_balance,Priorities,payment_preference,preferred_currency
U001,USD,5000.00,1000.00,essential,flexible,full_payment,USD
U002,EUR,3500.00,800.00,essential,installments,EUR
U003,INR,80000.00,15000.00,essential,flexible,partial_payment,INR
U004,ZAR,15000.00,3000.00,essential,wait,ZAR
U005,IDR,25000000.00,5000000.00,essential,flexible,full_payment,IDR
U006,USD,12000.00,2000.00,essential,flexible,installments,USD
U007,EUR,8000.00,1500.00,essential,flexible,full_payment,EUR
U008,INR,150000.00,25000.00,essential,partial_payment,INR
U009,ZAR,25000.00,5000.00,essential,flexible,wait,ZAR
U010,IDR,40000000.00,8000000.00,essential,flexible,full_payment,IDR
U011,USD,8000.00,1500.00,essential,flexible,partial_payment,USD
U012,EUR,5000.00,1000.00,essential,installments,EUR
U013,INR,120000.00,20000.00,essential,flexible,full_payment,INR
U014,ZAR,18000.00,3500.00,essential,flexible,wait,ZAR
U015,IDR,35000000.00,7000000.00,essential,flexible,installments,IDR
U016,USD,6500.00,1200.00,essential,flexible,full_payment,USD
U017,EUR,6000.00,1100.00,essential,flexible,partial_payment,EUR
U018,INR,95000.00,18000.00,essential,flexible,full_payment,INR
U019,ZAR,20000.00,4000.00,essential,flexible,installments,ZAR
U020,IDR,30000000.00,6000000.00,essential,flexible,full_payment,IDR
